car_id,brand,model,year,mileage,fuel_type,transmission,sale_month,zip_prefix,price
1,Honda,Model A,2020,50757,Petrol,Manual,7,30,999999
2,Fiat,Model B,2030,,Hybrid,Automatic,1,1,19076
3,Audi,Model C,2025,-500,Petrol,Automatic,12,1,29629
4,VW,Model B,2023,10661,XYZ,Automatic,10,20,18132
5,Dacia,Model C,2015,126515,Petrol,Manual,7,30,0
6,VW,Model C,2015,121974,Petrol,Manual,12,1,500
7,BMW,Model B,2005,247373,Petrol,Automatic,4,10,500
8,Ford,Model B,2025,3210,Hybrid,Automatic,11,1,21820
9,Mercedes,Model A,2023,34565,Diesel,Automatic,11,1,21380
10,BMW,Model A,2025,13173,Petrol,Automatic,8,30,33616
11,Toyota,Model B,2002,249874,Petrol,Automatic,4,30,500
12,Audi,Model C,2025,0,Petrol,Automatic,7,20,33231
13,Hyundai,Model B,2025,0,Petrol,Manual,12,10,20673
14,Toyota,Model A,2017,95659,Diesel,Manual,2,1,6814
15,VW,Model A,2016,97948,Petrol,Manual,3,1,9107
16,BMW,Model C,2016,121680,Petrol,Manual,9,1,4388
17,BMW,Model A,2020,26909,Petrol,Manual,9,20,11325
18,BMW,Model B,2022,38792,Petrol,Manual,3,10,13796
19,Audi,Model C,2021,49265,Petrol,Manual,11,30,9813
20,Toyota,Model B,2019,84741,Petrol,Automatic,12,20,10088
21,Ford,Model C,2023,0,Diesel,Automatic,1,10,24607
22,Dacia,Model C,2013,,Petrol,Automatic,12,20,6861
23,Toyota,Model B,2019,86685,Petrol,Manual,4,30,6039
24,BMW,Model A,2020,50352,Diesel,Automatic,4,1,13444
25,Mercedes,Model A,2021,29601,Diesel,Automatic,1,1,18136
26,Fiat,Model C,2025,0,Diesel,Manual,7,1,21949
27,VW,Model C,2016,32126,Diesel,Automatic,12,1,500
28,Hyundai,Model A,2022,22370,Petrol,Manual,3,1,16334
29,Mercedes,Model C,2023,55442,Hybrid,Automatic,8,30,24932
30,Mercedes,Model A,2004,244819,Petrol,Manual,4,1,500
31,Mercedes,Model A,2023,6695,Petrol,Manual,1,1,21254
32,Fiat,Model B,2015,118595,Petrol,Manual,12,30,6154
33,Audi,Model B,2006,241617,Hybrid,Automatic,9,1,500
34,Ford,Model A,2025,261,Petrol,Manual,10,20,27741
35,Honda,Model A,2025,7283,Petrol,Automatic,9,30,29160
36,Honda,Model B,2025,0,Petrol,Automatic,2,1,27700
37,Mercedes,Model A,2020,82315,Petrol,Automatic,3,30,8875
38,Ford,Model A,2009,200425,Petrol,Manual,5,30,6531
39,BMW,Model C,2024,27715,Petrol,Automatic,12,30,31349
40,Dacia,Model B,2021,53477,Petrol,Automatic,9,1,10110
41,BMW,Model B,2012,168373,Diesel,Automatic,6,1,500
42,BMW,Model B,2022,22904,Petrol,Automatic,7,30,22407
43,Toyota,Model C,2003,250000,Diesel,Automatic,12,1,500
44,Hyundai,Model B,2025,20197,Petrol,Automatic,3,1,25319
45,Audi,Model B,2018,107396,Petrol,Manual,5,20,9429
46,Honda,Model B,2024,0,Diesel,Automatic,5,1,18290
47,BMW,Model A,2020,63746,Diesel,Automatic,12,30,12356
48,BMW,Model C,2022,29535,Petrol,Manual,10,20,18948
49,Ford,Model A,2023,13544,Diesel,Automatic,8,10,21042
50,Mercedes,Model B,2016,112272,Petrol,Automatic,4,1,5362
51,VW,Model C,2025,17114,Petrol,Automatic,3,30,22442
52,Hyundai,Model A,2025,6774,Petrol,Manual,5,30,26351
53,Fiat,Model C,2025,0,Petrol,Manual,12,20,16181
54,Mercedes,Model B,2025,7722,Petrol,Automatic,12,30,26425
55,Honda,Model C,2023,18600,Petrol,Automatic,6,20,23324
56,Dacia,Model B,2025,6181,Petrol,Automatic,5,1,23956
57,Hyundai,Model C,2008,,Diesel,Automatic,12,30,1167
58,Mercedes,Model B,2016,76842,Petrol,Automatic,6,20,8164
59,Honda,Model B,2004,250000,Petrol,Manual,1,1,500
60,Fiat,Model C,2020,36914,Hybrid,Automatic,5,30,7723
61,Honda,Model A,2021,66424,Petrol,Manual,8,1,10304
62,Hyundai,Model B,2019,62444,Petrol,Automatic,12,1,8909
63,Honda,Model B,2025,0,Diesel,Manual,6,30,25389
64,Mercedes,Model B,2020,70429,Petrol,Automatic,4,30,12182
65,Mercedes,Model A,2019,77462,Petrol,Manual,5,10,8143
66,BMW,Model B,2023,9012,Petrol,Manual,1,20,21992
67,Mercedes,Model A,2014,113205,Diesel,Manual,12,30,4520
68,Fiat,Model B,2025,0,Diesel,Automatic,1,1,18814
69,VW,Model C,2007,197938,Petrol,Automatic,1,10,500
70,VW,Model C,2025,0,Petrol,Manual,8,1,25092
71,Ford,Model B,2025,1734,Petrol,Manual,2,20,27046
72,Toyota,Model B,2016,93511,Petrol,Automatic,4,20,8053
73,Audi,Model C,2000,250000,Petrol,Automatic,7,30,500
74,Fiat,Model A,2025,,Diesel,Automatic,10,30,23149
75,Honda,Model A,2025,0,Hybrid,Manual,5,1,23686
76,Honda,Model B,2025,1952,Petrol,Manual,12,20,22797
77,Dacia,Model A,2025,30271,Hybrid,Manual,6,30,14741
78,Toyota,Model A,2007,198185,Petrol,Automatic,12,10,500
79,Fiat,Model B,2020,77868,Diesel,Automatic,6,30,8977
80,Fiat,Model B,2011,184062,Petrol,Manual,7,1,500
81,Audi,Model A,2025,12814,Petrol,Automatic,12,30,28206
82,BMW,Model C,2024,31376,Petrol,Automatic,9,30,21818
83,Dacia,Model A,2020,64208,Petrol,Automatic,2,1,9691
84,Toyota,Model C,2006,219256,Diesel,Automatic,8,30,3740
85,BMW,Model A,2020,76418,Diesel,Manual,3,20,13906
86,Honda,Model C,2020,76992,Petrol,Automatic,4,1,7742
87,Ford,Model B,2025,16579,Diesel,Automatic,11,10,26763
88,Hyundai,Model A,2024,12667,Petrol,Automatic,9,1,19047
